Cliente 1: Epoca: 1, D_loss: 49.3981, G_loss: 4.6829, Tempo: 12.8838
Cliente 1: Epoca: 2, D_loss: 50.0000, G_loss: 0.0000, Tempo: 12.6277
Cliente 1: Epoca: 3, D_loss: 50.0000, G_loss: 0.0000, Tempo: 12.2838
Cliente 1: Epoca: 4, D_loss: 50.0000, G_loss: 0.0000, Tempo: 12.5889
Cliente 1: Epoca: 5, D_loss: 50.0000, G_loss: 0.0000, Tempo: 14.6940
Cliente 1: Epoca: 1, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.9248
Cliente 1: Epoca: 1, D_loss: 50.0000, G_loss: 0.0000, Tempo: 12.4632
Cliente 1: Epoca: 2, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.4959
Cliente 1: Epoca: 3, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.2082
Cliente 1: Epoca: 4, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.2742
Cliente 1: Epoca: 5, D_loss: 50.0000, G_loss: 0.0000, Tempo: 13.2545
Cliente 1: Epoca: 6, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.4924
Cliente 1: Epoca: 7, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.1138
Cliente 1: Epoca: 8, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.0135
Cliente 1: Epoca: 9, D_loss: 50.0000, G_loss: 0.0000, Tempo: 10.8933
Cliente 1: Epoca: 10, D_loss: 50.0000, G_loss: 0.0000, Tempo: 13.5660
Cliente 1: Epoca: 11, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.5375
Cliente 1: Epoca: 12, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.0953
Cliente 1: Epoca: 13, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.3089
Cliente 1: Epoca: 14, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.3247
Cliente 1: Epoca: 15, D_loss: 50.0000, G_loss: 0.0000, Tempo: 13.0986
Cliente 1: Epoca: 16, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.1998
Cliente 1: Epoca: 17, D_loss: 50.0000, G_loss: 0.0000, Tempo: 10.7099
Cliente 1: Epoca: 18, D_loss: 50.0000, G_loss: 0.0000, Tempo: 10.7795
Cliente 1: Epoca: 19, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.1583
Cliente 1: Epoca: 20, D_loss: 50.0000, G_loss: 0.0000, Tempo: 13.9698
Cliente 1: Epoca: 21, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.4895
Cliente 1: Epoca: 22, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.5999
Cliente 1: Epoca: 23, D_loss: 50.0000, G_loss: 0.0000, Tempo: 10.7270
Cliente 1: Epoca: 24, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.2766
Cliente 1: Epoca: 25, D_loss: 50.0000, G_loss: 0.0000, Tempo: 13.3122
Cliente 1: Epoca: 26, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.2465
Cliente 1: Epoca: 27, D_loss: 50.0000, G_loss: 0.0000, Tempo: 10.9782
Cliente 1: Epoca: 28, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.1045
Cliente 1: Epoca: 29, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.0435
Cliente 1: Epoca: 30, D_loss: 50.0000, G_loss: 0.0000, Tempo: 13.2925
Cliente 1: Epoca: 31, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.1483
Cliente 1: Epoca: 32, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.5642
Cliente 1: Epoca: 33, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.1914
Cliente 1: Epoca: 34, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.4687
Cliente 1: Epoca: 35, D_loss: 50.0000, G_loss: 0.0000, Tempo: 13.0234
Cliente 1: Epoca: 36, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.4831
Cliente 1: Epoca: 37, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.1429
Cliente 1: Epoca: 38, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.5091
Cliente 1: Epoca: 39, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.1418
Cliente 1: Epoca: 40, D_loss: 50.0000, G_loss: 0.0000, Tempo: 12.8620
Cliente 1: Epoca: 41, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.2315
Cliente 1: Epoca: 42, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.0766
Cliente 1: Epoca: 43, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.3547
Cliente 1: Epoca: 44, D_loss: 50.0000, G_loss: 0.0000, Tempo: 10.8499
Cliente 1: Epoca: 45, D_loss: 50.0000, G_loss: 0.0000, Tempo: 13.7587
Cliente 1: Epoca: 46, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.5628
Cliente 1: Epoca: 47, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.3360
Cliente 1: Epoca: 48, D_loss: 50.0000, G_loss: 0.0000, Tempo: 11.0931
Cliente 1: Epoca: 49, D_loss: 50.0000, G_loss: 0.0000, Tempo: 10.9947
Cliente 1: Epoca: 50, D_loss: 50.0000, G_loss: 0.0000, Tempo: 13.1984
Cliente 2: Epoca: 1, D_loss: 49.6461, G_loss: 99.9966, Tempo: 10.8752
Cliente 2: Epoca: 2, D_loss: 50.0000, G_loss: 100.0000, Tempo: 11.0072
Cliente 2: Epoca: 3, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.6488
Cliente 2: Epoca: 4, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.8176
Cliente 2: Epoca: 5, D_loss: 50.0000, G_loss: 100.0000, Tempo: 12.8132
Cliente 2: Epoca: 6, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.9631
Cliente 2: Epoca: 7, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.8727
Cliente 2: Epoca: 8, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.7743
Cliente 2: Epoca: 9, D_loss: 50.0000, G_loss: 100.0000, Tempo: 11.1103
Cliente 2: Epoca: 10, D_loss: 50.0000, G_loss: 100.0000, Tempo: 12.9524
Cliente 2: Epoca: 11, D_loss: 50.0000, G_loss: 100.0000, Tempo: 11.3361
Cliente 2: Epoca: 12, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.3497
Cliente 2: Epoca: 13, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.4581
Cliente 2: Epoca: 14, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.6765
Cliente 2: Epoca: 15, D_loss: 50.0000, G_loss: 100.0000, Tempo: 13.4255
Cliente 2: Epoca: 16, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.5666
Cliente 2: Epoca: 17, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.4771
Cliente 2: Epoca: 18, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.8934
Cliente 2: Epoca: 19, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.6770
Cliente 2: Epoca: 20, D_loss: 50.0000, G_loss: 100.0000, Tempo: 12.8356
Cliente 2: Epoca: 21, D_loss: 50.0000, G_loss: 100.0000, Tempo: 11.2266
Cliente 2: Epoca: 22, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.7067
Cliente 2: Epoca: 23, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.5444
Cliente 2: Epoca: 24, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.5653
Cliente 2: Epoca: 25, D_loss: 50.0000, G_loss: 100.0000, Tempo: 13.1819
Cliente 2: Epoca: 26, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.9193
Cliente 2: Epoca: 27, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.5299
Cliente 2: Epoca: 28, D_loss: 50.0000, G_loss: 100.0000, Tempo: 10.5080
